budget,id,original_language,original_title,revenue,runtime,title,release_date,popularity,vote_average,vote_count
200000000,338953,en,Fantastic Beasts: The Secrets of Dumbledore,400000000,142,Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,2051.16,6.7,1092
110000000,675353,en,Sonic the Hedgehog 2,393000000,122,Sonic the Hedgehog 2,2022-03-30,7088.307,7.8,1622
74000000,752623,en,The Lost City,164289828,112,The Lost City,2022-03-24,11288.261,6.7,768
75000000,526896,en,Morbius,161000000,105,Morbius,2022-03-30,11236.546,6.3,1125
200000000,453395,en,Doctor Strange in the Multiverse of Madness,930000000,126,Doctor Strange in the Multiverse of Madness,2022-05-04,3108.869,7.4,1852
70000000,639933,en,The Northman,68350700,137,The Northman,2022-04-07,7895.411,7.5,1095
200000000,634649,en,Spider-Man: No Way Home,1892000000,148,Spider-Man: No Way Home,2021-12-15,4816.033,8.1,13011
190000000,508947,en,Turning Red,18879922,100,Turning Red,2022-03-10,3000.916,7.5,2225
120000000,335787,en,Uncharted,400780000,116,Uncharted,2022-02-10,6178.481,7.2,2098
185000000,414906,en,The Batman,768442517,177,The Batman,2022-03-01,6372.913,7.8,4767
80000000,629542,en,The Bad Guys,229000000,100,The Bad Guys,2022-03-17,2651.704,7.8,494
0,628900,en,The Contractor,2122288,103,The Contractor,2022-03-10,4386.168,6.6,249
146000000,406759,en,Moonfall,58000000,130,Moonfall,2022-02-03,2823.628,6.5,1095
50000000,568124,en,Encanto,253000000,102,Encanto,2021-11-24,1168.402,7.7,6502
15800000,635302,ja,劇場版「鬼滅の刃」無限列車編,503063688,117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,933.858,8.4,2428
0,420821,en,Chip 'n Dale: Rescue Rangers,0,99,Chip 'n Dale: Rescue Rangers,2022-05-20,337.602,7.4,232
40000000,763285,en,Ambulance,50254920,136,Ambulance,2022-03-16,3529.926,7.0,654
165000000,284052,en,Doctor Strange,677700000,115,Doctor Strange,2016-10-25,1552.696,7.4,19031
165000000,284052,en,Doctor Strange,677700000,115,Doctor Strange,2007-08-14,199.799,6.9,265
0,585083,en,Hotel Transylvania: Transformania,0,87,Hotel Transylvania: Transformania,2022-02-25,1127.646,7.1,896
0,843241,ja,劇場版 七つの大罪 光に呪われし者たち,0,79,The Seven Deadly Sins: Cursed by Light,2021-07-02,634.049,7.9,341
43000000,823625,en,Blacklight,15400000,104,Blacklight,2022-02-10,1108.103,6.2,392
0,799876,en,The Outfit,3186865,105,The Outfit,2022-02-25,2638.232,7.0,231
0,810171,en,The Valet,0,124,The Valet,2006-03-29,25.812,5.9,437
110000000,580489,en,Venom: Let There Be Carnage,500000000,97,Venom: Let There Be Carnage,2021-09-30,785.613,7.0,7347
0,774825,en,The Ice Age Adventures of Buck Wild,0,82,The Ice Age Adventures of Buck Wild,2022-01-28,1187.307,6.8,1151
150000000,135397,en,Jurassic World,1671713208,124,Jurassic World,2015-06-06,248.001,6.7,17972
5000000,303857,ja,ドラゴンボールZ 復活の「F」,61768190,93,Dragon Ball Z: Resurrection 'F',2015-04-18,244.374,6.8,1388
85000000,438695,en,Sing 2,406000000,110,Sing 2,2021-12-01,735.083,8.1,2755
170000000,351286,en,Jurassic World: Fallen Kingdom,1303459585,129,Jurassic World: Fallen Kingdom,2018-06-06,201.042,6.6,9798
0,833425,en,No Exit,0,96,No Exit,2022-02-25,757.952,6.7,474
150000000,566525,en,Shang-Chi and the Legend of the Ten Rings,432243292,132,Shang-Chi and the Legend of the Ten Rings,2021-09-01,645.866,7.7,6499
200000000,524434,en,Eternals,402064899,156,Eternals,2021-11-03,626.208,7.1,5592
40000000,460458,en,Resident Evil: Welcome to Raccoon City,38600612,107,Resident Evil: Welcome to Raccoon City,2021-11-24,608.1,6.2,1558
116000000,696806,en,The Adam Project,471000000,106,The Adam Project,2022-03-11,1146.042,7.1,2291
82000000,459151,en,The Boss Baby: Family Business,146745280,107,The Boss Baby: Family Business,2021-07-01,495.777,7.6,1922
0,800937,en,Senior Year,0,112,Senior Year,2022-05-11,1258.595,6.0,249
0,776305,ja,竜とそばかすの姫,63501160,122,Belle,2021-07-16,31.369,8.0,321
0,776305,ja,竜とそばかすの姫,63501160,122,Belle,2013-05-01,11.272,7.2,581
75000000,425909,en,Ghostbusters: Afterlife,191000000,124,Ghostbusters: Afterlife,2021-11-11,538.408,7.7,2733
100000000,476669,en,The King's Man,125928656,131,The King's Man,2021-12-22,665.769,6.9,2669
15000000,744,en,Top Gun,356830601,110,Top Gun,1986-05-16,348.728,7.0,5503
0,294793,en,All the Old Knives,0,101,All the Old Knives,2022-04-08,2255.528,6.0,248
0,860623,en,Last Man Down,0,87,Last Man Down,2021-10-19,531.065,6.3,463
24000000,646385,en,Scream,140000000,114,Scream,1996-12-20,41.802,7.3,5099
24000000,646385,en,Scream,140000000,114,Scream,2022-01-12,512.54,6.8,1317
160000000,512195,en,Red Notice,178143,118,Red Notice,2021-11-04,435.972,6.8,3628
0,800510,en,Kimi,0,89,Kimi,2022-02-10,780.214,6.2,406
25000000,381284,en,Hidden Figures,230698791,127,Hidden Figures,2016-12-10,36.905,8.0,7749
190000000,624860,en,The Matrix Resurrections,156497322,148,The Matrix Resurrections,2021-12-16,528.993,6.7,3695
64000000,585245,en,Clifford the Big Red Dog,67000000,97,Clifford the Big Red Dog,2021-11-10,487.811,7.3,1255
20000000,460465,en,Mortal Kombat,83601013,110,Mortal Kombat,2021-04-07,319.935,7.2,4639
20000000,460465,en,Mortal Kombat,83601013,110,Mortal Kombat,1995-08-18,23.843,5.8,1783
300000000,299536,en,Avengers: Infinity War,2046239637,149,Avengers: Infinity War,2018-04-25,362.768,8.3,24616
200000000,337404,en,Cruella,233503234,134,Cruella,2021-05-26,347.221,8.2,7037
0,877183,en,The Simpsons in Plusaversary,0,4,The Simpsons in Plusaversary,2021-11-12,412.693,6.6,288
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,1045713802,137,Pirates of the Caribbean: On Stranger Tides,2011-05-14,394.486,6.5,11970
200000000,508943,en,Luca,49010641,95,Luca,2021-06-17,289.322,7.9,6280
237000000,19995,en,Avatar,2847246203,162,Avatar,2009-12-10,408.794,7.5,25439
0,126963,ja,ドラゴンボールZ 神と神,50461371,85,Dragon Ball Z: Battle of Gods,2013-03-30,154.792,6.8,1214
110000000,550988,en,Free Guy,331096766,115,Free Guy,2021-08-11,322.18,7.7,5709
14000000,744275,en,After We Fell,21500000,99,After We Fell,2021-09-01,242.256,7.1,1703
0,818750,en,The In Between,0,116,The In Between,2022-02-11,444.188,7.1,295
125000000,671,en,Harry Potter and the Philosopher's Stone,976475550,152,Harry Potter and the Philosopher's Stone,2001-11-16,224.145,7.9,22610
0,892153,en,Tom and Jerry Cowboy Up!,0,75,Tom and Jerry Cowboy Up!,2022-01-24,1087.876,7.0,302
0,760868,sv,Svart krabba,0,109,Black Crab,2022-03-18,1134.936,6.3,450
185000000,436969,en,The Suicide Squad,167417425,132,The Suicide Squad,2021-07-28,315.338,7.7,6165
26000000,675445,en,PAW Patrol: The Movie,144327371,86,PAW Patrol: The Movie,2021-08-09,302.82,7.5,929
0,928381,fr,Sans répit,0,95,Restless,2011-09-16,6.25,6.5,349
0,928381,fr,Sans répit,0,95,Restless,2022-02-25,569.238,6.0,245
0,726684,fr,"Miraculous World: Shanghai, la légende de Ladydragon",0,52,Miraculous World: Shanghai – The Legend of Ladydragon,2021-05-15,187.936,7.9,441
200000000,399566,en,Godzilla vs. Kong,467863133,113,Godzilla vs. Kong,2021-03-24,250.296,7.8,7905
161900000,379686,en,Space Jam: A New Legacy,162892228,115,Space Jam: A New Legacy,2021-07-08,262.007,7.0,3121
6500000,760926,en,Gold,0,97,Gold,2016-02-03,17.507,6.6,1344
6500000,760926,en,Gold,0,97,Gold,2022-01-13,860.925,6.4,256
0,860159,en,Crush,0,92,Crush,2013-03-13,17.86,5.9,264
0,926899,en,The House,0,97,The House,2022-01-14,524.836,7.0,608
0,39100,ja,ドラゴンボールZ この世で一番強いヤツ,18000000,60,Dragon Ball Z: The World's Strongest,1990-03-10,89.651,6.4,368
100000000,672,en,Harry Potter and the Chamber of Secrets,876688482,161,Harry Potter and the Chamber of Secrets,2002-11-13,178.344,7.7,18221
300000000,285,en,Pirates of the Caribbean: At World's End,961000000,169,Pirates of the Caribbean: At World's End,2007-05-19,342.187,7.2,12059
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,387.224,7.3,13443
200000000,385128,en,F9,726229501,143,F9,2021-05-19,292.705,7.3,5360
165000000,438631,en,Dune,400671789,155,Dune,2021-09-15,260.048,7.9,6999
165000000,438631,en,Dune,400671789,155,Dune,1984-12-14,33.177,6.2,2202
20000000,626735,en,Dog,77263354,102,Dog,2022-02-17,159.181,7.3,312
0,774741,en,Diary of a Wimpy Kid,0,58,Diary of a Wimpy Kid,2021-12-03,270.802,6.4,228
0,774741,en,Diary of a Wimpy Kid,0,58,Diary of a Wimpy Kid,2010-03-19,30.219,6.2,1258
0,347201,ja,BORUTO -NARUTO THE MOVIE-,40200000,95,Boruto: Naruto the Movie,2015-08-07,171.108,7.6,1037
200000000,497698,en,Black Widow,379751655,134,Black Widow,2021-07-07,270.677,7.4,7598
150000000,674,en,Harry Potter and the Goblet of Fire,895921036,157,Harry Potter and the Goblet of Fire,2005-11-16,188.231,7.8,17240
9100000,589761,ru,Чернобыль,6459306,136,Chernobyl: Abyss,2021-04-15,292.435,6.1,363
0,818647,es,A través de mi ventana,0,112,Through My Window,2022-02-04,269.044,7.6,1856
130000000,673,en,Harry Potter and the Prisoner of Azkaban,789804554,141,Harry Potter and the Prisoner of Azkaban,2004-05-31,178.324,8.0,17920
39000000,423108,en,The Conjuring: The Devil Made Me Do It,201000000,111,The Conjuring: The Devil Made Me Do It,2021-05-25,231.055,7.6,4420
140000000,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,655011224,143,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,352.654,7.8,17446
30000000,862,en,Toy Story,373554033,81,Toy Story,1995-10-30,168.668,8.0,15396
0,34433,ja,ドラゴンボールＺ 燃え尽きろ!!熱戦・烈戦・超激戦,21658982,70,Dragon Ball Z: Broly – The Legendary Super Saiyan,1993-03-06,131.97,7.2,650
200000000,451048,en,Jungle Cruise,220889446,127,Jungle Cruise,2021-07-28,212.485,7.5,4291
0,703771,en,Deathstroke: Knights & Dragons - The Movie,0,87,Deathstroke: Knights & Dragons - The Movie,2020-08-04,244.982,6.9,347
70000000,791373,en,Zack Snyder's Justice League,0,242,Zack Snyder's Justice League,2021-03-18,228.884,8.3,7771
0,482321,en,Ron's Gone Wrong,60000000,107,Ron's Gone Wrong,2021-10-15,283.126,8.1,1232
85000000,454626,en,Sonic the Hedgehog,306766470,99,Sonic the Hedgehog,2020-02-12,528.233,7.4,8007
60000000,597208,en,Nightmare Alley,39629195,150,Nightmare Alley,2021-12-02,410.557,7.0,1664
0,18095,ja,ドラゴンボールGT 悟空外伝! 勇気の証しは四星球(スーシンチュウ),0,45,Dragon Ball GT: A Hero's Legacy,1997-03-26,99.21,6.7,237
200000000,588228,en,The Tomorrow War,0,138,The Tomorrow War,2021-07-02,212.166,8.0,5440
60000000,14836,en,Coraline,124600000,100,Coraline,2009-02-05,196.498,7.8,5768
100000000,527774,en,Raya and the Last Dragon,130000000,107,Raya and the Last Dragon,2021-03-03,190.91,8.0,5321
0,639721,en,The Addams Family 2,119815153,93,The Addams Family 2,2021-10-01,197.323,7.1,849
25000000,545611,en,Everything Everywhere All at Once,82000000,140,Everything Everywhere All at Once,2022-03-24,210.548,8.5,353
14000000,537915,en,After,69497587,106,After,2019-04-11,155.184,7.2,7069
0,592350,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,29900850,104,My Hero Academia: Heroes Rising,2019-12-20,319.541,8.3,918
26000000,7445,en,Brothers,43318349,105,Brothers,2009-01-22,106.738,7.1,2201
0,613504,en,After We Collided,42000000,105,After We Collided,2020-09-02,166.596,7.3,4567
250000000,370172,en,No Time to Die,774153007,163,No Time to Die,2021-09-29,244.425,7.5,4097
356000000,299534,en,Avengers: Endgame,2797800564,181,Avengers: Endgame,2019-04-24,238.392,8.3,21053
220000000,24428,en,The Avengers,1518815515,143,The Avengers,2012-04-25,253.717,7.7,26928
65000000,529203,en,The Croods: A New Age,168285000,95,The Croods: A New Age,2020-11-25,192.315,7.6,2974
40000000,637649,en,Wrath of Man,103966489,119,Wrath of Man,2021-04-22,186.206,7.7,3642
0,811592,en,One Shot,0,97,One Shot,2021-11-05,350.42,6.8,613
88000000,568620,en,Snake Eyes: G.I. Joe Origins,36964325,121,Snake Eyes: G.I. Joe Origins,2021-07-22,251.173,6.7,1134
18000000,631843,en,Old,90112510,108,Old,2021-07-21,209.043,6.6,2660
1000000,317442,ja,The Last: Naruto the Movie,16500000,114,The Last: Naruto the Movie,2014-12-06,188.488,7.8,1179
2500000,522402,en,Finch,0,115,Finch,2021-11-04,220.358,8.1,2320
29000000,20982,ja,劇場版 NARUTO -ナルト- 疾風伝,0,94,Naruto Shippuden the Movie,2007-08-04,173.383,7.2,438
58000000,293660,en,Deadpool,783100000,108,Deadpool,2016-02-09,201.805,7.6,26753
230000000,166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,129,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,241.322,6.6,10179
10000000,632357,en,The Unholy,30833138,99,The Unholy,2021-03-31,233.142,6.8,1622
60000000,400160,en,The SpongeBob Movie: Sponge on the Run,4700000,95,The SpongeBob Movie: Sponge on the Run,2020-08-14,148.952,7.6,2467
75000000,522016,en,The 355,24000000,122,The 355,2022-01-05,426.097,6.0,451
34000000,198663,en,The Maze Runner,348319861,113,The Maze Runner,2014-09-10,216.636,7.2,14621
150000000,10195,en,Thor,449326618,115,Thor,2011-04-21,203.785,6.8,18195
90000000,863,en,Toy Story 2,497366869,92,Toy Story 2,1999-10-30,137.563,7.6,11599
175000000,354912,en,Coco,800526015,105,Coco,2017-10-27,182.006,8.2,15666
0,581726,en,Infinite,0,106,Infinite,2021-09-09,172.112,6.7,1061
0,609972,en,Paranormal Activity: Next of Kin,0,98,Paranormal Activity: Next of Kin,2021-10-29,282.224,6.5,360
0,516329,en,Antlers,18312201,99,Antlers,2021-10-28,296.188,6.4,665
0,840882,en,The Weekend Away,0,90,The Weekend Away,2022-03-03,418.987,6.0,396
60000000,808,en,Shrek,487853320,90,Shrek,2001-05-18,130.372,7.7,13873
150000000,118,en,Charlie and the Chocolate Factory,474968763,115,Charlie and the Chocolate Factory,2005-07-13,141.981,7.0,12565
180000000,259316,en,Fantastic Beasts and Where to Find Them,809342332,132,Fantastic Beasts and Where to Find Them,2016-11-16,331.506,7.4,16636
45223,876716,en,Ciao Alberto,0,7,Ciao Alberto,2021-11-12,195.069,7.5,476
40000000,324786,en,Hacksaw Ridge,175302354,139,Hacksaw Ridge,2016-10-07,184.282,8.2,10930
365000000,99861,en,Avengers: Age of Ultron,1405403694,141,Avengers: Age of Ultron,2015-04-22,175.743,7.3,19840
61000000,520763,en,A Quiet Place Part II,297372261,97,A Quiet Place Part II,2021-05-21,171.872,7.6,4327
10000000,482373,en,Don't Breathe 2,45000000,98,Don't Breathe 2,2021-08-12,179.701,7.4,1647
0,739413,en,Mother/Android,0,111,Mother/Android,2021-12-17,313.491,5.8,482
0,372058,ja,君の名は。,357986087,106,Your Name.,2016-08-26,191.184,8.5,8708
175000000,301528,en,Toy Story 4,1073394593,100,Toy Story 4,2019-06-19,110.172,7.6,8003
68000000,24021,en,The Twilight Saga: Eclipse,698491347,124,The Twilight Saga: Eclipse,2010-06-23,152.022,6.2,7508
59000000,425,en,Ice Age,383257136,81,Ice Age,2002-03-10,132.872,7.3,11102
250000000,767,en,Harry Potter and the Half-Blood Prince,933959197,153,Harry Potter and the Half-Blood Prince,2009-07-07,185.676,7.7,16138
100000000,617653,en,The Last Duel,30500000,153,The Last Duel,2021-10-13,243.911,7.5,2128
200000000,464052,en,Wonder Woman 1984,165160005,151,Wonder Woman 1984,2020-12-16,220.971,6.6,6784
50000000,587807,en,Tom & Jerry,132000000,101,Tom & Jerry,2021-02-10,158.116,7.0,2007
0,44251,ja,ドラゴンボールＺ 危険なふたり！超戦士はねむれない,24200000,48,Dragon Ball Z: Broly – Second Coming,1994-03-12,112.862,6.7,510
12000000,505262,ja,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,31478826,96,My Hero Academia: Two Heroes,2018-08-03,145.662,8.0,762
23000000,615904,en,Marry Me,44000000,112,Marry Me,2022-02-09,201.615,6.9,399
100000000,106646,en,The Wolf of Wall Street,392000000,180,The Wolf of Wall Street,2013-12-25,155.146,8.0,19740
45000000,8587,en,The Lion King,763455561,89,The Lion King,1994-06-23,149.359,8.3,15314
45000000,8587,en,The Lion King,763455561,89,The Lion King,2019-07-12,106.691,7.1,8438
260000000,420818,en,The Lion King,1667635327,118,The Lion King,1994-06-23,149.359,8.3,15314
260000000,420818,en,The Lion King,1667635327,118,The Lion King,2019-07-12,106.691,7.1,8438
18000000,602223,en,The Forever Purge,76994245,103,The Forever Purge,2021-06-30,158.184,7.2,1762
40000000,216015,en,Fifty Shades of Grey,571006128,125,Fifty Shades of Grey,2015-02-11,163.585,5.9,10222
60000000,458576,en,Monster Hunter,42145959,104,Monster Hunter,2020-12-03,172.901,6.8,2561
79000000,474350,en,It Chapter Two,473122525,169,It Chapter Two,2019-09-04,140.049,6.9,6899
0,39106,ja,ドラゴンボールＺ 超戦士撃破!!勝のはオレだ,19500000,50,Dragon Ball Z: Bio-Broly,1994-07-09,99.814,5.8,403
150000000,675,en,Harry Potter and the Order of the Phoenix,938212738,138,Harry Potter and the Order of the Phoenix,2007-06-28,156.058,7.7,16351
3000000,38234,en,Undisputed III: Redemption,0,96,Undisputed III: Redemption,2010-05-22,150.084,7.5,635
20000000,610253,en,Halloween Kills,131647155,105,Halloween Kills,2021-10-14,175.584,6.7,1724
0,16187,en,Buzz Lightyear of Star Command: The Adventure Begins,0,70,Buzz Lightyear of Star Command: The Adventure Begins,2000-08-08,26.119,6.4,256
50000000,13811,en,Knowing,155446362,121,Knowing,2009-03-19,150.236,6.1,4370
0,745881,th,ร่างทรง,7230000,131,The Medium,2021-07-14,144.916,7.0,318
0,573164,es,Un rescate de huevitos,3500000,88,An Egg Rescue,2021-08-12,134.957,8.0,307
180000000,68726,en,Pacific Rim,407602906,131,Pacific Rim,2013-07-11,124.465,6.8,10548
1000000,503314,ja,ドラゴンボール超スーパー ブロリー,125002821,101,Dragon Ball Super: Broly,2018-12-14,110.197,7.8,2252
0,571891,ja,劇場版 ポケットモンスター ミュウツーの逆襲 EVOLUTION,26654184,98,Pokemon the Movie: Mewtwo Strikes Back - Evolution,2019-07-12,199.826,6.7,378
215000000,1930,en,The Amazing Spider-Man,757930663,136,The Amazing Spider-Man,2012-06-23,197.996,6.7,14886
17000000,615457,en,Nobody,61779301,92,Nobody,2021-03-18,131.921,8.2,4625
110000000,383498,en,Deadpool 2,786365638,119,Deadpool 2,2018-05-10,159.831,7.5,14681
150000000,508442,en,Soul,136384442,101,Soul,2020-12-25,149.719,8.2,8026
68000000,214756,en,Ted 2,215863606,115,Ted 2,2015-06-25,184.56,6.3,6188
150000000,809,en,Shrek 2,928760770,93,Shrek 2,2004-05-19,129.436,7.2,9972
0,39104,ja,ドラゴンボールＺ 極限バトル！三大超サイヤ人,18554927,46,Dragon Ball Z: Super Android 13!,1992-07-11,86.207,6.7,385
0,39323,ja,ドラゴンボールZ たったひとりの最終決戦〜フリーザに挑んだZ戦士 孫悟空の父〜,0,48,Dragon Ball Z: Bardock - The Father of Goku,1990-10-17,67.034,7.5,500
200000000,10138,en,Iron Man 2,623933331,124,Iron Man 2,2010-04-28,172.48,6.8,17934
0,531219,en,Roald Dahl's The Witches,26900000,106,Roald Dahl's The Witches,2020-10-25,121.069,6.5,2154
0,770254,en,Back to the Outback,0,92,Back to the Outback,2021-12-03,223.38,7.7,446
125000000,12445,en,Harry Potter and the Deathly Hallows: Part 2,1341511219,130,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,168.049,8.1,17254
180000000,284053,en,Thor: Ragnarok,853977126,131,Thor: Ragnarok,2017-10-24,194.514,7.6,17650
170000000,76338,en,Thor: The Dark World,644571402,112,Thor: The Dark World,2013-10-30,155.254,6.6,14840
0,604822,zh,急先锋,27900000,107,Vanguard,2020-09-30,107.692,6.3,407
250000000,12444,en,Harry Potter and the Deathly Hallows: Part 1,954305868,146,Harry Potter and the Deathly Hallows: Part 1,2010-10-17,147.019,7.8,16015
0,796499,en,Army of Thieves,0,127,Army of Thieves,2021-10-27,173.449,6.9,1308
13000000,138843,en,The Conjuring,319494638,112,The Conjuring,2013-07-18,129.644,7.5,9388
0,39101,ja,ドラゴンボールZ 地球まるごと超決戦,15000000,61,Dragon Ball Z: The Tree of Might,1990-06-07,79.25,6.5,416
0,532067,ja,映画 この素晴らしい世界に祝福を！紅伝説,0,90,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,2019-08-30,219.817,8.3,388
150000000,2062,en,Ratatouille,623726000,111,Ratatouille,2007-06-28,106.311,7.8,13946
0,813258,en,Monster Pets: A Hotel Transylvania Short,0,6,Monster Pets: A Hotel Transylvania Short,2021-04-02,148.583,7.5,302
0,523936,fr,Méandre,700000,91,Meander,2021-05-26,249.106,6.1,248
55000000,337167,en,Fifty Shades Freed,368307760,105,Fifty Shades Freed,2018-01-17,158.557,6.7,6882
3000000,453354,fr,Ava,500000,106,Ava,2020-07-02,155.6,5.7,1980
0,539885,en,Ava,2987741,96,Ava,2020-07-02,155.6,5.7,1980
0,763788,en,Dangerous,0,99,Dangerous,2021-11-05,301.127,6.3,238
37000000,8966,en,Twilight,393616788,122,Twilight,2008-11-20,107.174,6.3,11528
175000000,315635,en,Spider-Man: Homecoming,880166924,133,Spider-Man: Homecoming,2017-07-05,162.583,7.4,18588
0,550205,en,Wish Dragon,25860000,99,Wish Dragon,2021-01-15,120.717,8.1,856
150000000,268896,en,Pacific Rim: Uprising,290061297,111,Pacific Rim: Uprising,2018-03-21,101.163,6.1,4005
0,39107,ja,ドラゴンボールZ 復活のフュージョン!! 悟空とベジータ,23500000,55,Dragon Ball Z: Fusion Reborn,1995-03-04,83.377,7.5,629
160000000,429617,en,Spider-Man: Far From Home,1131927996,129,Spider-Man: Far From Home,2019-06-28,135.913,7.5,12603
200000000,338952,en,Fantastic Beasts: The Crimes of Grindelwald,653355901,134,Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,262.555,6.9,9238
0,447362,en,Life in a Year,0,107,Life in a Year,2020-11-27,61.64,8.3,1012
250000000,271110,en,Captain America: Civil War,1153296293,147,Captain America: Civil War,2016-04-27,139.015,7.4,19810
200000000,102382,en,The Amazing Spider-Man 2,708962323,142,The Amazing Spider-Man 2,2014-04-16,148.517,6.5,11027
110000000,39254,en,Real Steel,299268508,127,Real Steel,2011-09-28,129.669,6.9,6698
200000000,10193,en,Toy Story 3,1066969703,103,Toy Story 3,2010-06-16,93.572,7.8,12493
95000000,32657,en,Percy Jackson & the Olympians: The Lightning Thief,226497209,118,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,123.849,6.2,6350
0,61979,es,Tres metros sobre el cielo,0,122,Three Steps Above Heaven,2010-12-03,119.833,7.8,2468
12000000,57214,en,Project X,102731865,88,Project X,2012-03-01,132.91,6.8,5181
165000000,177572,en,Big Hero 6,657827828,102,Big Hero 6,2014-10-24,136.367,7.7,13633
20000000,296096,en,Me Before You,207945075,110,Me Before You,2016-06-01,147.019,7.9,10105
0,348893,en,Boyka: Undisputed IV,0,87,Boyka: Undisputed IV,2016-08-01,121.36,7.0,1009
0,843906,en,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,0,72,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,140.376,8.2,287
25000000,50014,en,The Help,216639112,146,The Help,2011-08-09,94.764,8.2,6379
200000000,597,en,Titanic,2187463944,194,Titanic,1997-11-18,123.636,7.9,21016
0,672582,en,The Deep House,0,85,The Deep House,2021-06-30,157.118,6.4,621
150000000,109445,en,Frozen,1274219009,102,Frozen,2013-11-20,111.826,7.3,14244
